stage,event,gender,age,industry,profession,traffic,coach,head_gender,greywage,way ,extraversion,independ,selfcontrol,anxiety,novator
1,m,35,Banks,HR,rabrecNErab,no,f,white,bus,6.2,4.1,5.7,7.1,8.3,
1,m,33,Banks,HR,empjs,no,m,white,bus,6.2,4.1,5.7,7.1,8.3,
1,f,35,PowerGeneration,HR,rabrecNErab,no,m,white,bus,6.2,6.2,2.6,4.8,8.3,
1,f,35,PowerGeneration,HR,rabrecNErab,no,m,white,bus,5.4,7.6,4.9,2.5,6.7,
1,m,32,Retail,Commercial,youjs,yes,f,white,bus,3,4.1,8,7.1,3.7,
1,f,42,manufacture,HR,empjs,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7,
1,f,42,manufacture,HR,empjs,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7,
1,f,28,Retail,HR,referal,no,m,white,bus,3.8,5.5,8,4,4.4,
1,f,29,Banks,HR,empjs,no,f,white,bus,8.6,6.9,2.6,4,7.5,
1,f,30,Consult,Marketing,youjs,yes,m,white,bus,5.4,5.5,3.3,7.9,8.3,
1,f,40,manufacture,HR,rabrecNErab,no,m,white,car,8.6,4.1,1.8,7.1,6.7,
1,m,23,Banks,HR,referal,yes,m,white,bus,3,6.9,4.9,4.8,7.5,
1,f,22,Consult,HR,rabrecNErab,my head,f,white,foot,5.4,8.4,4.9,3.3,6,
1,f,24,State,etc,advert,yes,f,white,foot,7,6.2,4.1,7.1,9,
1,f,25,etc,HR,KA,my head,f,white,foot,9.4,1.2,4.1,5.6,6.7,
1,f,28,Building,HR,youjs,no,m,white,car,8.6,5.5,4.9,4.8,5.2,
1,f,30,Banks,HR,rabrecNErab,no,m,white,bus,5.4,5.5,3.3,4.8,6.7,
1,f,27,IT,Sales,referal,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3,
1,f,36,Banks,HR,referal,yes,f,grey,bus,5.4,6.9,3.3,3.3,7.5,
1,f,29,etc,HR,referal,no,m,white,bus,7.8,6.2,6.4,7.9,6,
1,f,29,etc,HR,referal,no,m,white,bus,3.8,3.4,5.7,8.7,7.5,
1,f,48,State,BusinessDevelopment,empjs,no,f,white,bus,4.6,6.2,4.9,5.6,6.7,
1,f,29,Banks,Finanñe,KA,no,f,white,car,7.8,4.8,5.7,7.1,6,
1,f,25,Banks,HR,recNErab,yes,f,white,bus,5.4,4.8,7.2,5.6,5.2,
1,f,25,Banks,HR,recNErab,yes,f,white,bus,4.6,4.1,8.7,5.6,2.1,
1,f,36,Banks,Finanñe,rabrecNErab,no,m,white,car,7.8,6.9,3.3,3.3,7.5,
1,f,36,Retail,HR,rabrecNErab,my head,m,white,bus,7.8,2.6,5.7,7.1,5.2,
1,m,29,Banks,HR,rabrecNErab,no,f,white,car,3.8,1.9,9.5,7.9,3.7,
1,f,35, HoReCa,HR,empjs,my head,f,white,bus,3,7.6,7.2,4,7.5,
1,f,35, HoReCa,HR,empjs,my head,f,white,bus,1.4,8.4,8,4.8,6,
1,f,21,Telecom,Sales,rabrecNErab,yes,f,white,bus,8.6,4.1,4.9,5.6,6,
1,m,35,etc,Sales,youjs,no,m,white,car,4.6,3.4,4.1,8.7,4.4,
1,f,25,etc,etc,referal,my head,f,white,bus,3.8,6.9,6.4,7.1,7.5,
1,f,30.40033257,Retail,HR,youjs,no,m,white,bus,7,6.2,4.1,2.5,6.7,
1,f,29,Consult,HR,rabrecNErab,no,f,white,bus,7,6.2,4.1,4,9,
1,f,22,Pharma,HR,rabrecNErab,no,m,white,bus,3,4.1,8.7,7.1,6,
1,f,34,Retail,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4,
1,f,34,Retail,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9,
1,f,34,Retail,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4,
1,f,34,Retail,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9,
1,f,21,etc,HR,empjs,no,f,white,bus,5.4,7.6,4.9,3.3,2.1,
1,f,22,etc,HR,youjs,yes,f,grey,car,7,4.8,6.4,4,4.4,
1,f,32,Retail,HR,youjs,no,m,white,car,3,7.6,7.2,4.8,2.9,
1,f,36,Pharma,etc,empjs,no,f,white,car,4.6,7.6,5.7,5.6,8.3,
1,f,30,Banks,HR,youjs,no,m,white,bus,6.2,3.4,8,3.3,3.7,
1,f,32,Retail,HR,rabrecNErab,my head,m,white,bus,3.8,6.2,8,4,6,
1,f,33,Retail,HR,empjs,no,m,white,car,7,4.8,4.1,7.1,8.3,
1,f,49,State,BusinessDevelopment,empjs,my head,f,white,bus,4.6,6.2,4.9,5.6,6.7,
1,f,29,Retail,HR,empjs,yes,m,white,bus,7.8,5.5,5.7,4,5.2,
1,f,29,Retail,HR,empjs,yes,m,white,bus,6.2,6.2,5.7,6.3,2.9,
1,f,29,Retail,HR,empjs,yes,m,white,bus,7,6.2,5.7,4,3.7,
1,m,36,Mining,HR,empjs,no,m,white,foot,4.6,4.8,7.2,6.3,7.5,
1,f,22,State,Teaching,advert,my head,m,white,bus,8.6,4.8,4.9,4,6.7,
1,f,21,transport,HR,empjs,yes,f,white,foot,7.8,5.5,2.6,7.1,9,
1,f,25,Retail,HR,empjs,no,f,white,bus,8.6,6.2,3.3,6.3,6,
1,m,38,manufacture,HR,rabrecNErab,no,m,white,car,6.2,3.4,7.2,6.3,3.7,
1,m,38,manufacture,HR,rabrecNErab,no,m,white,car,7,5.5,5.7,6.3,6,
1,f,23,Consult,HR,empjs,yes,f,white,bus,10,4.8,4.1,5.6,8.3,
1,f,23,Consult,HR,empjs,yes,f,white,bus,8.6,4.8,4.1,6.3,9,
1,m,38,Banks,BusinessDevelopment,recNErab,no,m,white,car,8.6,3.4,6.4,4,6,
1,f,24,Retail,HR,youjs,no,f,white,foot,6.2,7.6,3.3,3.3,6.7,
1,f,24,Retail,HR,youjs,no,f,white,foot,6.2,7.6,3.3,3.3,6.7,
1,f,36,manufacture,HR,rabrecNErab,my head,m,white,car,4.6,4.1,8,5.6,6,
1,f,21,State,Sales,advert,my head,m,grey,bus,4.6,5.5,7.2,3.3,5.2,
1,f,29,Telecom,HR,rabrecNErab,my head,f,white,foot,3.8,6.9,6.4,5.6,8.3,
1,f,29,Banks,HR,empjs,my head,f,white,bus,7,6.2,4.1,4,4.4,
1,f,26,manufacture,HR,referal,no,f,white,car,3.8,4.8,5.7,7.9,2.9,
1,m,36,etc,manage,rabrecNErab,my head,m,white,car,6.2,4.1,6.4,6.3,5.2,
1,m,36,etc,manage,rabrecNErab,my head,m,white,car,8.6,2.6,7.2,4.8,4.4,
1,f,30.40033257,State,Teaching,recNErab,no,m,white,foot,4.6,9.1,4.1,4,6,
1,f,22,State,HR,referal,my head,f,white,bus,6.2,5.5,3.3,6.3,6.7,
1,m,29,Banks,Marketing,rabrecNErab,no,f,white,bus,6.2,4.8,6.4,5.6,5.2,
1,f,23,State,Teaching,advert,no,f,white,bus,7,5.5,3.3,6.3,5.2,
1,m,22,manufacture,manage,advert,no,f,white,foot,7.8,5.5,1,9.4,9,
1,f,36,etc,HR,rabrecNErab,no,m,white,bus,7.8,4.8,4.9,5.6,9,
1,m,27,State,Teaching,rabrecNErab,no,f,white,bus,6.2,5.5,6.4,4,4.4,
0,f,34,Retail,HR,empjs,no,f,white,car,8.6,5.5,4.1,5.6,6.7,
0,f,34,Retail,HR,empjs,no,f,white,car,8.6,3.4,4.1,7.1,6,
0,f,34,Retail,HR,empjs,no,f,white,car,7.8,4.1,4.1,7.1,6.7,
1,f,25,Banks,HR,recNErab,no,f,white,bus,5.4,4.8,7.2,5.6,5.2,
1,f,25,Banks,HR,recNErab,no,f,white,bus,4.6,4.1,8.7,5.6,2.1,
1,f,24,Consult,HR,rabrecNErab,no,f,white,bus,5.4,6.9,4.9,4,6.7,
1,f,27,Retail,etc,referal,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3,
1,f,34,Banks,BusinessDevelopment,KA,my head,m,white,car,7,6.2,7.2,2.5,5.2,
1,f,34,Banks,BusinessDevelopment,KA,my head,m,white,car,8.6,6.9,5.7,3.3,4.4,
1,f,24,IT,HR,KA,no,f,white,bus,6.2,4.8,7.2,4,6.7,
1,f,23,State,Teaching,referal,yes,f,white,bus,3.8,6.9,8,1.7,2.1,
1,f,38,Telecom,HR,youjs,no,m,white,car,4.6,5.5,7.2,6.3,7.5,
1,f,25,Banks,HR,empjs,no,m,white,bus,6.2,6.2,5.7,5.6,7.5,
1,f,25,Banks,HR,empjs,no,m,white,bus,6.2,7.6,4.1,4.8,9,
1,f,28,manufacture,HR,youjs,my head,m,white,bus,6.2,4.8,4.1,4,6.7,
1,f,29,manufacture,HR,rabrecNErab,my head,f,white,car,7,5.5,1.8,6.3,6,
1,m,26,etc,Commercial,rabrecNErab,no,m,white,car,6.2,4.1,4.9,6.3,2.9,
1,m,21,etc,Marketing,referal,no,m,white,bus,4.6,6.9,4.1,5.6,6,
1,f,25,Consult,HR,youjs,my head,f,white,bus,5.4,6.9,5.7,3.3,2.9,
1,f,25,Consult,HR,youjs,my head,f,white,bus,5.4,6.9,5.7,3.3,2.9,
1,f,24,Consult,HR,youjs,no,f,white,bus,4.6,6.9,5.7,5.6,2.9,
1,f,31,State,HR,rabrecNErab,no,m,grey,bus,2.2,1,8,8.7,3.7,
1,f,45,Retail,HR,empjs,no,f,white,bus,3,5.5,10,6.3,2.9,
1,f,21,etc,etc,rabrecNErab,my head,f,white,bus,7,6.9,5.7,4,5.2,
1,f,22,etc,HR,youjs,my head,f,white,bus,5.4,6.2,4.1,8.7,8.3,
1,f,37,Mining,Commercial,KA,yes,m,white,bus,3.8,7.6,4.9,7.1,9,
1,f,32,etc,HR,empjs,my head,m,white,bus,7.8,6.2,3.3,4,8.3,
1,f,37,manufacture,HR,rabrecNErab,my head,m,white,bus,7,4.8,5.7,6.3,8.3,
1,f,30,Retail,HR,KA,no,f,white,bus,6.2,6.2,5.7,5.6,8.3,
1,f,37,transport,HR,youjs,no,m,white,bus,6.2,5.5,5.7,6.3,9,
1,f,22,Pharma,HR,rabrecNErab,no,m,white,bus,3.8,1.9,8.7,6.3,4.4,
1,f,22,Pharma,HR,rabrecNErab,no,m,white,bus,5.4,2.6,8,7.1,5.2,
1,f,22,Banks,IT,referal,my head,m,white,bus,4.6,4.8,6.4,7.1,6,
1,f,22,Banks,IT,referal,my head,m,white,bus,4.6,6.2,6.4,4,6.7,
1,m,28,Telecom,IT,rabrecNErab,no,m,white,car,8.6,6.2,1,5.6,6.7,
1,m,28,Telecom,IT,rabrecNErab,no,m,white,car,7,6.2,2.6,5.6,8.3,
1,m,25,manufacture,HR,empjs,my head,f,white,car,6.2,5.5,5.7,5.6,4.4,
1,f,23,Building,Marketing,rabrecNErab,my head,f,white,bus,3.8,7.6,7.2,2.5,4.4,
1,m,25,Building,HR,youjs,yes,f,white,bus,7,4.8,4.9,5.6,6,
1,f,26,Banks,HR,youjs,no,f,white,bus,4.6,6.2,5.7,4,6,
1,f,26,Banks,HR,youjs,no,f,white,bus,4.6,5.5,6.4,5.6,5.2,
1,m,30,Retail,Sales,youjs,no,m,white,car,7,4.8,1.8,8.7,6.7,
1,m,38,IT,IT,referal,no,m,white,car,6.2,4.1,1.8,8.7,8.3,
1,f,37,State,Marketing,recNErab,no,f,white,foot,9.4,4.1,4.9,4,8.3,
1,f,26,Agriculture,Law,rabrecNErab,no,m,grey,bus,5.4,4.8,8.7,5.6,2.9,
1,f,27,Banks,HR,youjs,no,f,white,car,3.8,4.8,9.5,6.3,3.7,
1,f,29,Retail,etc,empjs,no,m,white,bus,7.8,5.5,5.7,4,5.2,
1,f,29,Retail,etc,empjs,no,m,white,bus,6.2,6.2,5.7,6.3,2.9,
1,f,29,Retail,etc,empjs,no,m,white,bus,7,6.2,5.7,4,3.7,
1,f,26,manufacture,HR,rabrecNErab,no,m,white,bus,3.8,5.5,8.7,3.3,3.7,
1,f,26,manufacture,HR,rabrecNErab,no,m,white,bus,3,6.9,6.4,3.3,2.9,
1,f,49,manufacture,HR,empjs,my head,m,white,bus,6.2,8.4,3.3,3.3,6,
1,m,21,Banks,HR,recNErab,yes,f,white,foot,7.8,6.2,2.6,5.6,9,
1,m,21,Banks,HR,recNErab,yes,f,white,foot,7,3.4,3.3,7.1,8.3,
1,m,26,Mining,HR,empjs,yes,f,white,car,4.6,3.4,8.7,7.9,7.5,
1,f,22,etc,Marketing,rabrecNErab,no,f,grey,car,5.4,6.9,6.4,4,4.4,
1,m,51,Retail,etc,referal,no,m,white,car,3,5.5,9.5,5.6,5.2,
1,f,28,manufacture,Finanñe,rabrecNErab,no,m,white,car,7.8,3.4,6.4,4,4.4,
1,m,52,Consult,Consult,rabrecNErab,no,m,white,foot,3,9.1,4.9,6.3,6.7,
1,f,43,Pharma,HR,youjs,my head,f,white,car,4.6,5.5,3.3,7.9,7.5,
1,f,44,manufacture,HR,rabrecNErab,no,m,grey,car,7,6.9,4.9,3.3,6,
1,f,45,manufacture,Engineer,rabrecNErab,my head,f,white,bus,3.8,4.1,7.2,5.6,3.7,
1,f,27,Building,HR,rabrecNErab,no,f,white,bus,3.8,9.8,4.1,4,9,
1,f,26,Retail,HR,youjs,my head,f,white,bus,7,5.5,4.1,4.8,7.5,
1,f,25,manufacture,HR,advert,yes,f,white,car,9.4,3.4,1.8,8.7,7.5,
1,f,19,Banks,HR,advert,yes,m,white,foot,7,3.4,5.7,7.9,6.7,
1,f,31,etc,HR,rabrecNErab,no,m,white,bus,9.4,3.4,1,8.7,9.8,
1,f,31,Banks,HR,rabrecNErab,no,f,grey,bus,3.8,4.1,7.2,8.7,2.1,
1,f,31,Banks,HR,rabrecNErab,no,f,grey,bus,3.8,4.1,7.2,8.7,2.1,
1,f,31,RealEstate,HR,referal,my head,f,white,bus,6.2,4.8,8.7,6.3,5.2,
1,f,30.40033257,etc,HR,youjs,no,f,white,bus,6.2,4.1,6.4,6.3,1,
1,f,30.40033257,etc,HR,youjs,no,f,white,bus,7,6.9,4.1,6.3,3.7,
1,f,18,Retail,HR,advert,no,f,white,bus,6.2,5.5,6.4,4.8,5.2,
1,m,33,IT,Consult,youjs,yes,m,white,car,3,10,5.7,6.3,8.3,
1,f,36,Retail,Sales,youjs,no,m,white,bus,5.4,4.8,4.9,4.8,6,
1,f,31,etc,HR,empjs,my head,m,white,car,3,5.5,7.2,5.6,6,
1,f,45,IT,HR,rabrecNErab,no,m,white,car,7.8,4.8,4.1,4,6,
1,f,29,Retail,HR,empjs,my head,f,white,car,8.6,6.9,4.9,3.3,6,
1,m,23,Banks,HR,rabrecNErab,no,f,white,bus,5.4,5.5,5.7,8.7,5.2,
1,f,27,Retail,HR,rabrecNErab,my head,f,white,car,6.2,4.8,6.4,6.3,2.9,
1,f,22,Retail,Sales,youjs,yes,m,grey,bus,8.6,4.1,4.9,4.8,5.2,
1,m,47,manufacture,Commercial,empjs,no,m,grey,bus,3.8,1.9,8.7,8.7,2.1,
1,m,47,manufacture,Commercial,empjs,no,m,grey,bus,4.6,4.1,5.7,9.4,3.7,
1,m,47,manufacture,Commercial,empjs,no,m,grey,bus,3,5.5,4.9,9.4,4.4,
1,f,30.40033257,Consult,HR,youjs,no,m,white,bus,7.8,5.5,4.9,7.1,6,
1,f,28,transport,HR,rabrecNErab,my head,f,white,car,4.6,6.9,4.9,4,6,
0,f,43,manufacture,HR,rabrecNErab,my head,m,white,bus,4.6,7.6,4.9,5.6,6,
1,m,26,Consult,Consult,referal,no,f,white,bus,8.6,5.5,4.1,7.1,6.7,
1,f,31,Retail,Sales,KA,no,f,grey,bus,5.4,5.5,7.2,4.8,1.3,
1,m,24,Retail,HR,empjs,my head,f,grey,bus,4.6,7.6,6.4,4.8,6.7,
1,f,27,Building,HR,rabrecNErab,no,f,white,bus,3.8,9.8,4.1,4,9,
1,m,35,Retail,HR,rabrecNErab,no,m,white,car,6.2,5.5,5.7,4,2.9,
1,m,35,Retail,HR,rabrecNErab,no,m,white,car,7,4.8,2.6,5.6,6,
1,f,31,PowerGeneration,HR,youjs,my head,f,white,car,5.4,4.1,6.4,4.8,4.4,
1,m,23,IT,HR,empjs,no,f,white,bus,7,4.1,6.4,4.8,5.2,
1,f,40,Banks,Sales,advert,my head,f,white,car,5.4,4.1,4.9,6.3,7.5,
1,f,31,IT,HR,KA,no,m,white,bus,5.4,6.9,3.3,4,8.3,
1,f,37,etc,HR,youjs,yes,f,white,bus,6.2,6.2,6.4,5.6,5.2,
1,f,24,IT,HR,youjs,yes,f,white,bus,8.6,4.1,4.9,3.3,6,
1,f,23,Building,HR,empjs,no,f,grey,bus,5.4,8.4,4.1,4.8,6,
1,f,23,Building,HR,empjs,no,f,grey,bus,7.8,5.5,4.1,4.8,5.2,
1,f,46,RealEstate,HR,rabrecNErab,no,m,white,car,4.6,7.6,6.4,4,6,
1,f,23,Consult,Marketing,youjs,yes,f,white,bus,6.2,4.8,5.7,3.3,3.7,
1,f,40,IT,HR,empjs,yes,m,white,bus,3,8.4,7.2,4.8,8.3,
1,m,39,manufacture,Engineer,recNErab,no,m,white,car,3.8,4.8,5.7,7.9,3.7,
1,f,28,Retail,HR,youjs,no,f,white,car,3,5.5,6.4,5.6,3.7,
1,m,40,etc,HR,empjs,yes,m,white,car,5.4,3.4,5.7,7.9,9.8,
1,m,33,Retail,Finanñe,rabrecNErab,no,f,white,bus,2.2,6.2,6.4,6.3,5.2,
1,m,33,Retail,Finanñe,rabrecNErab,no,f,white,bus,3.8,4.1,8,6.3,4.4,
1,f,24,Banks,HR,referal,no,f,white,foot,7.8,6.2,4.9,1.7,3.7,
1,f,38,Retail,HR,rabrecNErab,no,m,white,bus,6.2,4.1,4.9,5.6,6.7,
1,m,35,manufacture,BusinessDevelopment,rabrecNErab,no,m,white,car,5.4,4.8,4.1,7.9,7.5,
1,f,33,manufacture,HR,referal,my head,m,white,car,4.6,4.8,7.2,7.9,6,
1,f,36,etc,HR,empjs,no,m,white,foot,3,6.9,6.4,4.8,6,
1,f,36,etc,HR,empjs,no,m,white,foot,2.2,6.9,8,6.3,3.7,
1,f,36,etc,HR,empjs,no,m,white,foot,3,6.9,7.2,4.8,5.2,
1,f,22,etc,HR,youjs,yes,f,white,bus,9.4,4.1,4.1,4.8,9,
1,f,38,manufacture,HR,rabrecNErab,no,m,white,bus,7.8,2.6,5.7,7.1,5.2,
1,f,23,Banks,HR,rabrecNErab,yes,f,white,bus,4.6,6.9,7.2,5.6,4.4,
1,f,23,Banks,HR,rabrecNErab,yes,f,white,bus,6.2,4.8,4.9,4.8,3.7,
1,f,24,etc,Sales,rabrecNErab,my head,f,white,bus,6.2,5.5,5.7,3.3,2.1,
1,m,26,Retail,Sales,recNErab,no,m,white,car,3,5.5,5.7,7.1,6.7,
1,f,33,etc,etc,advert,no,m,white,bus,5.4,1,9.5,9.4,5.2,
1,f,40,Banks,HR,empjs,yes,f,grey,bus,6.2,3.4,8,3.3,3.7,
1,f,23,manufacture,manage,KA,no,f,white,car,3.8,4.1,8.7,4,2.9,
1,f,27,Retail,HR,youjs,no,m,white,car,8.6,4.8,7.2,4,3.7,
1,f,24,PowerGeneration,Sales,empjs,my head,f,white,bus,5.4,6.2,4.1,6.3,9.8,
1,f,30,Banks,HR,rabrecNErab,no,f,white,car,5.4,7.6,2.6,5.6,6,
1,f,37,Pharma,etc,empjs,no,f,white,car,4.6,7.6,5.7,5.6,8.3,
1,f,31,manufacture,HR,rabrecNErab,no,m,grey,bus,3,7.6,4.9,5.6,5.2,
1,f,31,Retail,HR,KA,no,m,white,bus,3.8,10,3.3,3.3,6.7,
1,f,23,IT,HR,youjs,my head,f,white,bus,1.4,2.6,9.5,8.7,2.1,
1,f,40,Banks,HR,empjs,no,f,white,bus,7.8,5.5,2.6,6.3,8.3,
1,f,40,Banks,HR,empjs,no,f,white,bus,8.6,5.5,3.3,6.3,7.5,
1,f,40,Banks,HR,empjs,no,f,white,bus,7,6.9,4.1,5.6,7.5,
1,f,37,etc,Marketing,youjs,no,f,white,bus,4.6,2.6,8.7,4,2.9,
1,f,30,Retail,Sales,youjs,no,f,white,bus,4.6,2.6,7.2,6.3,5.2,
1,f,38,State,Teaching,referal,no,f,white,foot,3,9.1,4.1,4.8,6,
1,m,32,Mining,Law,rabrecNErab,no,f,white,bus,3,4.8,4.1,7.1,7.5,
1,f,34,Building,Marketing,referal,no,m,grey,car,9.4,3.4,4.9,3.3,6,
1,f,25,manufacture,HR,youjs,my head,f,grey,car,3,4.8,7.2,7.9,5.2,
1,f,25,manufacture,HR,youjs,my head,f,grey,car,3,5.5,5.7,7.1,5.2,
0,m,33,Retail,HR,empjs,my head,f,white,car,4.6,6.2,8,7.1,5.2,
0,m,33,Retail,HR,empjs,my head,f,white,car,5.4,7.6,5.7,7.1,6,
0,m,33,Retail,HR,rabrecNErab,my head,m,white,car,3,4.1,8,7.1,3.7,
1,m,37,manufacture,manage,rabrecNErab,no,m,grey,bus,3.8,4.8,4.9,7.1,6.7,
1,f,31,manufacture,HR,rabrecNErab,my head,f,white,bus,6.2,4.8,4.1,4.8,5.2,
0,f,30,RealEstate,BusinessDevelopment,referal,my head,m,white,foot,5.4,6.9,2.6,5.6,8.3,
1,m,26,manufacture,Engineer,referal,my head,m,white,bus,4.6,5.5,8.7,5.6,1.3,
1,m,33,Banks,etc,youjs,no,m,white,car,6.2,4.1,3.3,8.7,9.8,
0,f,25,Retail,HR,youjs,no,m,grey,car,6.2,3.4,6.4,6.3,7.5,
0,f,32,etc,Marketing,rabrecNErab,my head,m,white,foot,5.4,5.5,3.3,7.9,8.3,
0,f,36,Retail,HR,KA,no,m,white,car,6.2,6.2,5.7,4,5.2,
0,f,38,Building,HR,referal,no,m,white,car,1.4,4.8,5.7,6.3,6.7,
1,f,23,Retail,Marketing,advert,my head,f,white,car,3,6.2,8.7,4.8,6,
1,f,26,State,manage,referal,no,f,white,foot,4.6,5.5,8,4.8,5.2,
1,f,24,Banks,HR,rabrecNErab,no,f,white,foot,7.8,6.2,4.9,1.7,3.7,
1,f,25,Retail,HR,empjs,no,m,white,bus,7.8,6.9,3.3,3.3,5.2,
1,f,33,Banks,HR,rabrecNErab,no,f,white,car,5.4,6.2,7.2,2.5,5.2,
0,f,32,Pharma,Sales,rabrecNErab,no,f,white,bus,5.4,7.6,8.7,2.5,2.9,
0,f,44,Banks,HR,KA,no,f,white,car,4.6,4.8,8.7,4.8,6,
1,f,24,Consult,Consult,youjs,no,f,grey,bus,6.2,4.8,8,4,2.9,
1,f,23,manufacture,HR,youjs,my head,f,white,bus,6.2,3.4,6.4,4.8,3.7,
0,f,25,manufacture,HR,youjs,no,f,white,bus,6.2,3.4,6.4,4.8,3.7,
1,f,34,etc,HR,empjs,no,m,white,car,8.6,5.5,1,6.3,9.8,
1,m,30,Retail,Sales,rabrecNErab,no,m,grey,car,5.4,4.1,4.9,6.3,6,
1,f,29,State,Teaching,advert,no,f,white,foot,9.4,5.5,3.3,3.3,5.2,
1,f,30,Mining,HR,youjs,my head,f,white,car,4.6,6.9,7.2,3.3,6.7,
0,f,29,IT,HR,rabrecNErab,no,f,white,bus,4.6,7.6,7.2,2.5,4.4,
0,f,26, HoReCa,HR,youjs,my head,f,white,car,3,6.9,7.2,4.8,5.2,
1,f,28,Retail,HR,rabrecNErab,my head,m,white,bus,7.8,6.9,4.1,3.3,7.5,
1,f,33, HoReCa,HR,youjs,my head,m,white,bus,3.8,8.4,8,4,4.4,
1,f,33, HoReCa,HR,youjs,my head,m,white,bus,4.6,9.1,4.9,3.3,2.9,
1,f,27,Retail,HR,rabrecNErab,no,m,white,foot,7,5.5,4.9,6.3,8.3,
1,f,32,State,Teaching,rabrecNErab,no,f,white,bus,7.8,4.8,4.1,3.3,7.5,
1,f,31,Banks,HR,empjs,no,f,grey,bus,7,6.2,1,9.4,7.5,
0,f,23,Retail,HR,youjs,yes,f,white,bus,6.2,4.8,7.2,4,6.7,
1,m,22,PowerGeneration,etc,recNErab,no,m,white,bus,6.2,2.6,7.2,5.6,6.7,
1,f,24,Telecom,HR,referal,no,m,white,bus,1,6.9,9.5,4.8,7.5,
1,f,23,Retail,Sales,empjs,my head,f,white,bus,7,4.8,4.1,5.6,6.7,
0,f,32,Retail,HR,rabrecNErab,no,f,white,bus,3,4.1,7.2,7.1,8.3,
0,m,42,manufacture,BusinessDevelopment,youjs,no,m,white,car,1.4,4.1,9.5,7.1,5.2,
1,m,22,PowerGeneration,Marketing,rabrecNErab,no,m,white,bus,5.4,4.1,8.7,4,2.1,
1,m,39,Banks,BusinessDevelopment,youjs,no,f,white,bus,7.8,4.8,1.8,8.7,8.3,
1,m,34,etc,HR,empjs,no,m,grey,bus,3.8,2.6,8,9.4,6,
0,f,30,State,HR,youjs,no,m,white,bus,4.6,2.6,7.2,7.1,6.7,
1,f,28,Retail,Marketing,rabrecNErab,no,f,white,car,3,8.4,3.3,7.9,8.3,
0,f,31,Retail,BusinessDevelopment,referal,no,m,white,car,4.6,4.8,8,4.8,6.7,
0,f,31,Retail,BusinessDevelopment,referal,no,m,white,car,6.2,6.9,7.2,4.8,5.2,
1,f,32,etc,HR,youjs,yes,f,white,bus,3,8.4,7.2,6.3,7.5,
0,f,40,manufacture,HR,youjs,no,m,white,bus,3,6.9,4.9,5.6,6,
1,f,22,IT,manage,youjs,yes,f,white,bus,8.6,6.2,2.6,5.6,9.8,
1,f,41,Banks,HR,rabrecNErab,no,m,white,bus,3.8,8.4,2.6,4.8,7.5,
1,f,24,manufacture,HR,rabrecNErab,my head,f,grey,bus,3,4.8,7.2,7.9,5.2,
1,f,24,manufacture,HR,rabrecNErab,my head,f,grey,bus,3,5.5,5.7,7.1,5.2,
1,f,26,etc,Engineer,empjs,no,m,white,bus,6.2,5.5,3.3,6.3,8.3,
1,f,36,RealEstate,manage,rabrecNErab,no,m,white,bus,5.4,5.5,7.2,4.8,4.4,
1,m,30,Retail,Sales,rabrecNErab,no,m,grey,car,5.4,4.1,4.9,6.3,6,
1,f,30,Retail,HR,youjs,yes,f,white,bus,4.6,4.8,5.7,8.7,6,
0,f,31,IT,HR,youjs,no,m,white,bus,7,3.4,8,7.9,6,
1,f,24,Pharma,HR,empjs,no,f,white,bus,5.4,4.8,4.9,4.8,5.2,
