stage,event,gender,age,industry,profession,traffic,coach,head_gender,greywage,way ,extraversion,independ,selfcontrol,anxiety,novator
1,f,28,IT,HR,youjs,no,f,white,bus,6.2,3.4,4.9,7.9,7.5,
1,f,24,etc,PR,referal,no,f,white,foot,7,4.1,2.6,7.9,7.5,
1,f,24,etc,PR,referal,no,f,white,foot,7.8,6.2,2.6,5.6,6.7,
1,f,44,etc,HR,youjs,no,m,white,bus,4.6,7.6,5.7,2.5,6,
0,f,24,Retail,HR,rabrecNErab,yes,m,white,car,7,6.2,1.8,6.3,7.5,
1,m,39,Retail,manage,empjs,no,m,white,car,6.2,3.4,6.4,6.3,7.5,
0,f,35,Telecom,BusinessDevelopment,referal,my head,f,white,bus,8.6,5.5,3.3,4.8,6.7,
1,f,40,Retail,HR,KA,no,m,white,car,6.2,6.2,5.7,4.8,7.5,
1,f,30.40033257,Retail,Marketing,youjs,yes,f,white,bus,7.8,6.2,4.9,4,8.3,
1,f,26,Banks,HR,youjs,no,f,grey,bus,4.6,6.2,5.7,4,6,
1,f,26,Banks,HR,youjs,no,f,grey,bus,4.6,5.5,6.4,5.6,5.2,
0,f,31,etc,HR,empjs,no,f,white,bus,5.4,5.5,4.9,5.6,6.7,
0,f,26,IT,HR,empjs,yes,f,white,bus,9.4,6.2,2.6,4,6,
0,f,26,IT,HR,empjs,yes,f,white,bus,6.2,7.6,4.1,3.3,6.7,
1,f,33,Pharma,HR,empjs,no,f,white,car,5.4,3.4,5.7,7.1,5.2,
0,f,23,Consult,HR,empjs,yes,f,white,foot,8.6,5.5,2.6,4.8,7.5,
0,f,32,Retail,HR,rabrecNErab,no,f,white,bus,3.8,6.2,8,4,6.7,
1,m,28,etc,IT,youjs,no,m,white,bus,7.8,6.9,2.6,6.3,7.5,
0,f,26,Retail,etc,youjs,no,m,white,car,10,5.5,2.6,6.3,6.7,
1,f,27,etc,HR,KA,no,f,white,bus,3.8,1.9,9.5,7.1,2.1,
0,m,22,IT,IT,rabrecNErab,my head,m,white,foot,4.6,2.6,6.4,9.4,6,
1,m,37,IT,IT,rabrecNErab,no,m,white,bus,10,3.4,3.3,6.3,10,
1,m,38,Agriculture,HR,empjs,no,f,white,bus,4.6,4.1,4.1,8.7,8.3,
1,m,44,Retail,Sales,youjs,no,m,grey,bus,2.2,5.5,8.7,7.1,6.7,
0,f,27,etc,etc,empjs,no,m,white,bus,7,6.9,5.7,3.3,6.7,
1,f,23,Agriculture,Consult,referal,yes,m,white,bus,4.6,6.9,7.2,3.3,2.1,
1,f,23,Agriculture,Consult,referal,yes,m,white,bus,4.6,6.9,7.2,2.5,2.9,
1,f,23,Agriculture,Consult,referal,my head,m,white,bus,4.6,6.9,7.2,3.3,2.1,
1,f,23,Agriculture,Consult,referal,my head,m,white,bus,4.6,6.9,7.2,2.5,2.9,
1,f,34,Building,HR,youjs,my head,f,white,bus,4.6,2.6,5.7,7.9,7.5,
0,m,23,Telecom,Engineer,empjs,no,m,grey,bus,3.8,9.1,8.7,4.8,5.2,
0,f,25,Retail,HR,youjs,no,m,grey,bus,6.2,3.4,6.4,6.3,7.5,
0,f,26,Retail,HR,recNErab,no,f,white,bus,4.6,6.2,5.7,6.3,4.4,
0,f,26,Retail,HR,recNErab,no,f,white,bus,3.8,4.1,8.7,7.9,5.2,
0,f,30,Retail,etc,youjs,no,f,grey,bus,6.2,2.6,6.4,5.6,6,
1,m,45,Telecom,BusinessDevelopment,friends,my head,m,white,bus,3,8.4,7.2,7.1,6,
0,f,31,transport,Consult,friends,no,m,white,bus,5.4,6.2,6.4,4,3.7,
0,f,31,transport,Consult,friends,no,m,white,bus,3.8,3.4,8,6.3,6,
1,f,36,manufacture,etc,empjs,my head,f,white,foot,4.6,4.1,4.9,5.6,3.7,
1,f,36,manufacture,etc,empjs,my head,f,white,foot,6.2,4.8,5.7,4,2.9,
0,f,29,PowerGeneration,Commercial,youjs,no,m,grey,car,5.4,6.2,4.1,5.6,8.3,
1,f,30,Telecom,HR,youjs,yes,f,white,foot,5.4,4.1,4.9,8.7,7.5,
1,f,23,manufacture,Engineer,youjs,yes,m,white,bus,3,6.9,5.7,7.9,5.2,
1,f,23,manufacture,Engineer,youjs,yes,m,white,bus,4.6,6.9,7.2,4.8,5.2,
1,f,27,Retail,HR,rabrecNErab,yes,f,white,bus,6.2,6.9,3.3,4.8,6.7,
1,m,29,Consult,HR,empjs,no,m,white,car,3,4.8,4.9,6.3,7.5,
1,f,28,State,manage,rabrecNErab,no,f,white,bus,7,6.9,6.4,2.5,5.2,
0,m,46,Consult,HR,advert,no,f,white,bus,3,6.2,8,5.6,3.7,
1,m,23,State,Law,referal,my head,m,white,car,4.6,6.9,7.2,3.3,2.1,
1,m,23,State,Law,referal,my head,m,white,car,4.6,6.9,7.2,2.5,2.9,
0,f,26,Building,HR,rabrecNErab,no,m,white,foot,3.8,1.9,8.7,6.3,4.4,
0,f,26,Building,HR,rabrecNErab,no,m,white,foot,5.4,2.6,8,7.1,5.2,
1,f,38,transport,HR,youjs,no,m,grey,bus,6.2,6.2,8,2.5,3.7,
1,f,38,transport,HR,youjs,no,m,grey,bus,4.6,6.2,8,4,3.7,
1,m,26,Retail,IT,friends,no,m,white,bus,3.8,7.6,7.2,7.9,4.4,
0,f,31,Retail,HR,youjs,my head,f,white,bus,4.6,5.5,7.2,3.3,2.9,
0,f,31,Retail,HR,youjs,my head,f,white,bus,4.6,5.5,7.2,4.8,3.7,
1,f,36,Building,HR,KA,no,f,white,bus,3.8,5.5,6.4,5.6,6,
0,f,33,PowerGeneration,HR,empjs,my head,f,white,car,7.8,6.2,6.4,7.9,6,
0,f,33,PowerGeneration,HR,empjs,my head,f,white,car,3.8,3.4,5.7,8.7,7.5,
1,f,28,Building,BusinessDevelopment,referal,no,m,white,foot,9.4,3.4,4.9,3.3,6,
1,f,27,Retail,HR,referal,yes,f,white,bus,6.2,6.9,3.3,4.8,6.7,
0,f,26,Banks,IT,youjs,my head,m,grey,car,6.2,5.5,4.9,5.6,6.7,
0,f,28,Retail,HR,youjs,no,m,white,bus,5.4,3.4,7.2,6.3,3.7,
1,f,40,Retail,HR,youjs,no,m,grey,car,6.2,5.5,4.9,4.8,7.5,
1,m,23,etc,Marketing,friends,my head,m,white,bus,1.4,9.8,6.4,3.3,6,
1,f,22,IT,IT,empjs,my head,m,grey,bus,7,4.1,5.7,5.6,8.3,
0,f,29,manufacture,HR,rabrecNErab,my head,m,white,foot,6.2,3.4,4.1,7.9,7.5,
0,f,29,manufacture,HR,rabrecNErab,my head,m,white,foot,6.2,3.4,4.1,7.9,7.5,
1,m,23,State,etc,rabrecNErab,my head,m,white,bus,6.2,2.6,7.2,6.3,7.5,
0,f,29,manufacture,HR,rabrecNErab,my head,m,white,foot,6.2,3.4,4.1,7.9,7.5,
0,f,29,manufacture,HR,rabrecNErab,my head,m,white,foot,6.2,3.4,4.1,7.9,7.5,
1,m,26,IT,IT,empjs,no,m,white,bus,3.8,4.8,6.4,8.7,6,
0,f,26,transport,HR,youjs,yes,f,white,bus,7.8,4.8,6.4,4.8,6,
1,m,26,Building,Engineer,empjs,my head,m,white,bus,4.6,5.5,5.7,8.7,6,
0,m,19,IT,IT,youjs,no,m,white,bus,4.6,6.2,7.2,5.6,6,
0,f,33,Retail,HR,youjs,no,m,grey,bus,6.2,4.8,6.4,2.5,4.4,
1,f,24,Consult,Consult,rabrecNErab,my head,f,white,bus,6.2,4.8,8,4,2.9,
0,f,31,Retail,Accounting,youjs,no,f,white,bus,7,2.6,7.2,4.8,4.4,
1,f,33,Pharma,HR,empjs,no,f,white,car,5.4,3.4,5.7,7.1,5.2,
1,f,22,IT,HR,rabrecNErab,no,m,white,bus,7,2.6,7.2,6.3,6,
1,f,25,Banks,HR,empjs,my head,m,white,bus,9.4,6.2,3.3,2.5,6.7,
0,f,28,Agriculture,HR,friends,no,m,white,bus,6.2,5.5,3.3,6.3,8.3,
0,f,32,Telecom,HR,youjs,no,f,white,bus,7,5.5,3.3,7.1,6.7,
1,f,22,transport,HR,youjs,no,m,white,bus,2.2,8.4,4.9,7.1,6.7,
1,f,37,Consult,Finanñe,empjs,no,m,white,bus,7,7.6,2.6,5.6,8.3,
1,f,27,Retail,HR,empjs,no,f,grey,car,7.8,4.8,3.3,5.6,6.7,
1,f,27,Retail,HR,empjs,no,f,grey,car,10,4.1,1.8,6.3,8.3,
1,f,35,Telecom,HR,empjs,my head,f,white,foot,6.2,4.1,6.4,5.6,6.7,
0,f,27,Telecom,Marketing,advert,no,f,white,car,3.8,4.8,4.9,6.3,5.2,
1,m,24,Consult,HR,empjs,no,f,white,foot,2.2,4.1,6.4,9.4,6,
1,f,25,Banks,HR,youjs,my head,f,grey,bus,5.4,3.4,8,6.3,2.1,
1,f,23,Banks,IT,youjs,my head,m,white,bus,5.4,6.2,3.3,4,6,
0,f,24,IT,HR,empjs,my head,f,white,bus,8.6,6.9,4.9,1.7,4.4,
1,m,31,Retail,IT,youjs,no,m,white,bus,4.6,2.6,6.4,10,4.4,
1,m,35,Retail,Sales,youjs,no,m,white,foot,5.4,6.2,4.9,4,2.9,
1,f,21,State,PR,empjs,no,f,white,bus,3,5.5,7.2,5.6,2.1,
0,f,19,Retail,HR,rabrecNErab,yes,f,white,bus,7,6.2,5.7,2.5,5.2,
1,f,21,Consult,HR,empjs,yes,f,white,bus,7,9.1,1.8,4.8,6,
1,f,24,Building,etc,friends,no,m,grey,bus,5.4,4.1,2.6,7.9,6,
0,f,35,Pharma,HR,KA,my head,f,white,bus,5.4,4.8,5.7,4,3.7,
1,m,25,Retail,Sales,youjs,my head,m,white,car,7,5.5,4.1,6.3,8.3,
1,m,19,manufacture,Accounting,friends,no,f,white,car,6.2,3.4,5.7,7.1,6.7,
1,m,19,manufacture,Accounting,friends,no,f,white,car,4.6,6.9,5.7,7.1,5.2,
0,f,30.40033257,Banks,HR,friends,my head,f,white,bus,6.2,6.2,4.1,2.5,5.2,
0,f,35,manufacture,HR,youjs,no,m,white,bus,7.8,1.9,3.3,4,6.7,
0,f,43,State,Law,rabrecNErab,no,m,white,car,4.6,5.5,6.4,4,5.2,
1,f,22,Consult,HR,empjs,yes,m,white,bus,6.2,4.8,3.3,7.1,9,
1,f,48,Building,HR,rabrecNErab,no,m,white,bus,6.2,6.2,6.4,3.3,6.7,
0,f,29,IT,IT,empjs,yes,m,white,car,9.4,6.2,4.1,4.8,7.5,
0,f,29,IT,IT,empjs,yes,m,white,car,7,6.2,5.7,4.8,5.2,
0,f,33,PowerGeneration,HR,empjs,my head,f,white,car,7.8,6.2,6.4,7.9,6,
0,f,33,PowerGeneration,HR,empjs,my head,f,white,car,3.8,3.4,5.7,8.7,7.5,
1,f,44,Retail,HR,rabrecNErab,no,m,grey,bus,3,6.9,4.1,7.9,5.2,
1,f,24,IT,HR,empjs,my head,m,white,foot,7,5.5,4.9,4.8,2.9,
1,f,42,Consult,HR,friends,no,m,white,bus,3,6.9,6.4,5.6,6,
1,f,42,Consult,HR,friends,no,m,white,bus,7,6.2,5.7,4.8,4.4,
1,f,22,State,Teaching,recNErab,my head,f,grey,bus,3,4.8,5.7,4.8,3.7,
1,m,41,IT,IT,rabrecNErab,no,m,white,bus,3.8,4.1,5.7,5.6,4.4,
1,f,26,State,HR,referal,no,m,white,car,5.4,6.2,7.2,4.8,6.7,
1,m,31,Building,Engineer,youjs,no,m,white,bus,5.4,4.1,8.7,6.3,4.4,
1,f,38,Building,HR,youjs,no,m,white,bus,7,4.1,4.9,5.6,6.7,
0,m,38,Agriculture,HR,youjs,no,f,white,car,7.8,2.6,4.1,7.9,6.7,
1,f,26,Consult,HR,youjs,no,f,grey,bus,7,6.2,4.1,4.8,8.3,
0,f,29,Retail,HR,empjs,my head,f,grey,bus,4.6,5.5,1.8,7.1,6.7,
0,f,29,Retail,HR,empjs,my head,f,grey,bus,4.6,1,5.7,8.7,2.9,
0,f,29,Retail,HR,empjs,my head,f,grey,bus,5.4,4.8,8,9.4,2.9,
1,f,38,Building,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4,
1,f,38,Building,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9,
0,m,35,IT,IT,friends,no,m,white,bus,7,5.5,2.6,5.6,9,
0,f,39,etc,manage,KA,no,f,white,bus,3.8,7.6,4.9,7.1,9,
1,m,19,manufacture,Accounting,rabrecNErab,no,f,white,car,6.2,3.4,5.7,7.1,6.7,
1,m,19,manufacture,Accounting,rabrecNErab,no,f,white,car,4.6,6.9,5.7,7.1,5.2,
0,f,26,IT,HR,empjs,my head,f,white,bus,9.4,6.2,2.6,4,6,
0,f,26,IT,HR,empjs,my head,f,white,bus,6.2,7.6,4.1,3.3,6.7,
1,m,32,Mining,Law,friends,no,f,white,bus,3,4.8,4.1,7.1,7.5,
1,f,26,State,HR,empjs,yes,m,white,car,5.4,6.2,7.2,4.8,6.7,
0,m,33,Retail,HR,empjs,no,f,white,car,4.6,6.2,8,7.1,5.2,
0,m,33,Retail,HR,empjs,no,f,white,car,5.4,7.6,5.7,7.1,6,
0,f,39,transport,HR,empjs,no,f,white,bus,4.6,4.1,4.9,5.6,3.7,
0,f,39,transport,HR,empjs,no,f,white,bus,6.2,4.8,5.7,4,2.9,
0,f,23,Retail,HR,empjs,no,m,white,bus,7,4.1,8,4.8,4.4,
0,f,24,manufacture,HR,youjs,no,f,white,bus,3.8,7.6,8,4.8,2.9,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,4.8,7.5,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,5.6,9,
0,f,34,Banks,HR,youjs,no,f,white,bus,1.4,6.9,8,4,5.2,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,4.8,7.5,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,5.6,9,
0,m,32,State,etc,youjs,no,f,white,car,3.8,3.4,7.2,10,5.2,
0,f,29,Retail,HR,empjs,my head,f,white,bus,6.2,6.9,8.7,3.3,2.9,
0,f,21,Retail,HR,empjs,no,f,grey,bus,2.2,4.8,8.7,7.9,5.2,
0,f,21,Retail,HR,empjs,no,f,grey,bus,3.8,3.4,8.7,7.1,3.7,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,4.8,7.5,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,5.6,9,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,4.8,7.5,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,5.6,9,
1,m,42,etc,Marketing,empjs,no,f,grey,bus,2.2,6.9,3.3,6.3,3.7,
0,f,35,Telecom,HR,empjs,no,f,grey,bus,7,3.4,3.3,6.3,7.5,
1,m,42,Consult,Consult,youjs,my head,m,white,bus,5.4,8.4,6.4,5.6,5.2,
0,m,28,IT,HR,youjs,no,m,white,bus,2.2,5.5,7.2,4.8,3.7,
0,f,27,PowerGeneration,HR,youjs,no,m,white,foot,3,2.6,6.4,7.1,7.5,
0,f,27,PowerGeneration,HR,youjs,no,m,white,foot,3,5.5,4.1,7.1,8.3,
1,m,33,Building,Sales,KA,no,m,grey,car,7.8,3.4,7.2,4,5.2,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,4.8,7.5,
0,f,26,Banks,Sales,advert,no,f,white,foot,5.4,7.6,4.1,5.6,9,
0,f,31,transport,manage,friends,my head,m,white,bus,5.4,6.2,6.4,4,3.7,
0,f,31,transport,manage,friends,my head,m,white,bus,3.8,3.4,8,6.3,6,
1,f,32,manufacture,HR,recNErab,my head,f,white,car,4.6,6.9,4.9,5.6,6,
0,f,25,Retail,HR,youjs,no,m,white,car,7.8,4.8,5.7,4.8,5.2,
0,f,33,manufacture,HR,KA,no,m,white,bus,5.4,9.1,4.1,2.5,6,
1,f,28,transport,HR,empjs,no,m,white,bus,3.8,4.8,9.5,4.8,2.1,
1,m,26,etc,Engineer,friends,no,m,white,bus,7.8,6.9,4.1,6.3,7.5,
1,f,40,Building,HR,rabrecNErab,my head,m,white,car,2.2,8.4,6.4,4.8,6.7,
0,f,26,IT,HR,friends,my head,m,white,bus,4.6,6.9,8,4,4.4,
0,m,21,Retail,Sales,rabrecNErab,yes,m,white,bus,7.8,4.1,2.6,5.6,8.3,
0,f,27,Retail,HR,youjs,my head,m,white,bus,7,4.8,6.4,4.8,7.5,
1,f,29,Mining,HR,rabrecNErab,no,m,white,bus,4.6,5.5,5.7,4.8,7.5,
0,f,25,Retail,Marketing,youjs,yes,f,white,bus,8.6,5.5,3.3,5.6,9.8,
1,m,44,Retail,Commercial,youjs,no,m,white,bus,3,2.6,10,9.4,4.4,
1,m,31,RealEstate,Marketing,youjs,my head,f,grey,car,7.8,4.1,4.1,7.9,7.5,
1,f,36,Telecom,HR,youjs,no,f,white,car,7,4.1,6.4,5.6,8.3,
1,f,30,State,HR,friends,yes,f,white,foot,5.4,4.1,4.9,8.7,7.5,
0,f,31,State,HR,rabrecNErab,no,f,white,bus,1.4,7.6,7.2,4,2.9,
0,f,22,Consult,HR,youjs,my head,f,white,bus,6.2,5.5,2.6,5.6,8.3,
1,f,54,Pharma,HR,rabrecNErab,no,m,white,car,4.6,8.4,5.7,4,4.4,
1,f,54,Pharma,HR,rabrecNErab,no,m,white,car,4.6,8.4,5.7,4,4.4,
1,f,36,manufacture,HR,youjs,my head,f,white,bus,6.2,4.8,5.7,8.7,7.5,
1,f,32,Retail,HR,friends,no,f,grey,car,6.2,6.2,1.8,5.6,9,
0,f,33,Banks,HR,empjs,no,f,white,bus,7,6.2,1,9.4,7.5,
0,f,23,Retail,etc,recNErab,my head,m,white,bus,6.2,6.9,4.9,2.5,2.9,
1,f,41,Banks,HR,empjs,no,m,white,bus,7.8,5.5,2.6,6.3,8.3,
1,f,41,Banks,HR,empjs,no,m,white,bus,8.6,5.5,3.3,6.3,7.5,
1,f,41,Banks,HR,empjs,no,m,white,bus,7,6.9,4.1,5.6,7.5,
1,f,30,Banks,HR,youjs,no,f,white,bus,8.6,6.9,2.6,4,7.5,
0,f,26,manufacture,HR,empjs,no,m,white,bus,8.6,5.5,4.1,4,3.7,
1,f,23,Banks,HR,rabrecNErab,yes,f,white,car,6.2,9.1,4.1,3.3,6.7,
1,f,23,Banks,HR,rabrecNErab,yes,f,white,car,7,7.6,3.3,3.3,6.7,
0,f,42,etc,HR,youjs,no,f,white,foot,5.4,4.8,6.4,6.3,4.4,
1,f,25,State,manage,friends,no,m,white,bus,4.6,6.2,6.4,4,4.4,
1,f,23,Telecom,HR,empjs,no,f,white,bus,3.8,4.8,7.2,5.6,4.4,
1,f,22,etc,Sales,recNErab,my head,m,white,foot,7,1.9,6.4,6.3,4.4,
0,f,29,Retail,HR,empjs,my head,f,white,bus,6.2,6.9,8.7,3.3,2.9,
0,f,37,Retail,HR,friends,no,m,white,bus,5.4,4.8,6.4,7.1,4.4,
1,m,24,Building,HR,friends,yes,m,white,car,5.4,5.5,5.7,8.7,5.2,
1,m,26,etc,HR,youjs,yes,f,white,bus,6.2,5.5,6.4,4,3.7,
1,f,34,manufacture,manage,KA,no,f,white,car,7,2.6,7.2,4.8,5.2,
1,f,27,Agriculture,Marketing,empjs,yes,m,white,bus,7,6.9,2.6,4,5.2,
0,f,28,Retail,HR,youjs,my head,f,grey,bus,4.6,5.5,1.8,7.1,6.7,
0,f,28,Retail,HR,youjs,my head,f,grey,bus,4.6,1,5.7,8.7,2.9,
0,f,28,Retail,HR,youjs,my head,f,grey,bus,5.4,4.8,8,9.4,2.9,
0,f,20,etc,HR,KA,no,f,white,bus,7.8,7.6,4.1,4,5.2,
1,m,26,State,IT,empjs,my head,m,white,bus,4.6,3.4,6.4,7.1,6,
1,f,27,IT,HR,youjs,my head,m,white,bus,6.2,6.2,4.9,5.6,6,
1,f,22,Telecom,HR,referal,no,f,white,car,7,3.4,4.1,6.3,8.3,
0,f,31,manufacture,HR,KA,my head,m,white,car,8.6,4.8,4.1,2.5,4.4,
1,f,31,manufacture,HR,youjs,my head,m,grey,car,5.4,5.5,6.4,6.3,6.7,
1,f,31,etc,HR,empjs,no,m,white,car,5.4,8.4,2.6,5.6,7.5,
1,f,37,Building,HR,friends,no,m,white,car,2.2,7.6,8,4,2.1,
1,m,42,IT,Consult,youjs,my head,m,white,bus,5.4,8.4,6.4,5.6,5.2,
1,f,22,Retail,HR,empjs,no,f,white,bus,5.4,4.8,4.9,7.1,6.7,
1,f,22,Retail,HR,empjs,no,f,white,bus,4.6,1.9,8,6.3,6,
1,m,40,Agriculture,Sales,empjs,no,m,white,bus,4.6,4.1,7.2,10,5.2,
0,f,23,transport,HR,empjs,yes,m,white,bus,5.4,5.5,8,2.5,4.4,
1,f,34,Retail,BusinessDevelopment,rabrecNErab,no,f,white,bus,3,7.6,4.9,5.6,5.2,
0,m,33,State,Sales,rabrecNErab,no,m,white,car,7,6.2,4.1,6.3,9,
1,f,46,Building,HR,friends,no,m,white,car,3.8,5.5,4.9,5.6,5.2,
0,f,22,Retail,HR,empjs,yes,f,white,bus,3.8,6.2,5.7,7.9,9,
0,f,25,Mining,Finanñe,rabrecNErab,no,f,white,car,6.2,6.2,6.4,5.6,3.7,
1,f,23,Banks,HR,rabrecNErab,yes,f,white,car,6.2,9.1,4.1,3.3,6.7,
1,f,23,Banks,HR,rabrecNErab,yes,f,white,car,7,7.6,3.3,3.3,6.7,
1,m,31,Retail,Sales,empjs,my head,m,grey,bus,6.2,6.9,6.4,3.3,6.7,
0,f,25,State,HR,youjs,no,f,white,bus,9.4,4.8,3.3,7.1,9,
0,f,30,RealEstate,BusinessDevelopment,referal,my head,m,white,car,5.4,6.9,2.6,5.6,8.3,
0,f,22,State,HR,advert,my head,f,white,foot,5.4,5.5,7.2,4,2.9,
1,f,35,Retail,HR,empjs,no,m,white,bus,5.4,7.6,4.9,4,6,
1,f,24,Consult,HR,empjs,my head,f,white,bus,7.8,5.5,3.3,7.9,8.3,
0,f,29,Retail,HR,advert,no,m,white,car,4.6,3.4,9.5,4.8,2.1,
0,m,36,manufacture,Engineer,friends,my head,m,white,bus,7.8,2.6,4.1,8.7,6.7,
0,m,33,manufacture,Engineer,recNErab,my head,m,white,bus,5.4,8.4,4.1,4.8,6.7,
0,f,34,Retail,HR,empjs,no,f,white,car,8.6,5.5,4.1,5.6,6.7,
0,f,34,Retail,HR,empjs,no,f,white,car,8.6,3.4,4.1,7.1,6,
0,f,34,Retail,HR,empjs,no,f,white,car,7.8,4.1,4.1,7.1,6.7,
0,f,28,Retail,HR,youjs,no,f,white,car,5.4,5.5,6.4,2.5,4.4,
0,f,45,State,HR,rabrecNErab,no,f,white,bus,6.2,6.2,3.3,6.3,8.3,
0,f,45,State,HR,rabrecNErab,no,f,white,bus,4.6,4.8,4.1,7.9,9,
1,f,41,Retail,HR,empjs,no,m,white,bus,3,6.9,6.4,4.8,6,
1,f,41,Retail,HR,empjs,no,m,white,bus,2.2,6.9,8,6.3,3.7,
1,f,41,Retail,HR,empjs,no,m,white,bus,3,6.9,7.2,4.8,5.2,
1,f,41,Consult,HR,youjs,no,f,white,bus,1.4,4.8,8.7,5.6,2.1,
1,f,41,Consult,HR,youjs,no,f,white,bus,3,8.4,8,3.3,2.1,
0,m,33,Retail,HR,empjs,my head,f,white,bus,2.2,7.6,6.4,4.8,7.5,
1,f,22,Banks,HR,youjs,yes,f,white,bus,6.2,4.8,4.9,4.8,6.7,
0,f,29,Retail,HR,empjs,my head,f,grey,bus,4.6,5.5,1.8,7.1,6.7,
0,f,29,Retail,HR,empjs,my head,f,grey,bus,4.6,1,5.7,8.7,2.9,
0,f,29,Retail,HR,empjs,my head,f,grey,bus,5.4,4.8,8,9.4,2.9,
1,f,34,manufacture,Marketing,referal,no,m,grey,car,9.4,3.4,4.9,3.3,6,
0,m,33,Retail,HR,empjs,no,f,white,car,4.6,6.2,8,7.1,5.2,
0,m,33,Retail,HR,empjs,no,f,white,car,5.4,7.6,5.7,7.1,6,
0,f,28,Agriculture,HR,friends,no,f,white,bus,6.2,5.5,3.3,6.3,8.3,
1,f,27,Retail,HR,friends,my head,f,white,bus,5.4,3.4,3.3,8.7,8.3,
1,f,27,Retail,HR,friends,my head,f,white,bus,6.2,6.2,7.2,3.3,3.7,
1,f,35,transport,Commercial,empjs,no,f,white,car,7.8,5.5,1.8,5.6,8.3,
1,f,27,Retail,HR,youjs,my head,m,white,bus,6.2,6.9,4.1,5.6,6,
1,f,42,transport,HR,youjs,no,m,white,bus,5.4,4.8,4.1,4.8,6,
0,f,22,Retail,manage,youjs,no,f,white,bus,6.2,9.1,4.9,3.3,2.9,
0,f,40,RealEstate,HR,youjs,no,f,white,foot,3.8,8.4,8,4,4.4,
0,f,40,RealEstate,HR,youjs,no,f,white,foot,4.6,9.1,4.9,3.3,2.9,
0,m,31,Banks,IT,recNErab,no,m,grey,car,6.2,4.1,2.6,8.7,8.3,
0,f,43,etc,HR,youjs,no,m,white,bus,3,6.2,8,7.1,4.4,
0,f,23,etc,Sales,empjs,my head,f,white,bus,5.4,6.2,9.5,5.6,5.2,
0,f,29,Retail,HR,youjs,my head,m,white,bus,7.8,5.5,5.7,4,5.2,
0,f,29,Retail,HR,youjs,my head,m,white,bus,6.2,6.2,5.7,6.3,2.9,
0,f,29,Retail,HR,youjs,my head,m,white,bus,7,6.2,5.7,4,3.7,
0,f,22,State,HR,rabrecNErab,my head,f,white,car,4.6,9.1,6.4,5.6,6,
1,f,44,State,HR,rabrecNErab,my head,f,grey,car,3.8,6.2,5.7,5.6,6.7,
0,m,21,IT,IT,friends,my head,m,white,foot,3.8,5.5,5.7,7.9,3.7,
0,m,40,IT,Sales,rabrecNErab,no,m,white,car,1.4,6.9,9.5,6.3,1.3,
1,f,32,etc,Marketing,youjs,no,m,white,bus,3.8,6.2,6.4,4,6,
0,m,31,Banks,etc,friends,no,m,white,bus,4.6,7.6,4.1,4,6,
1,f,23,etc,HR,friends,my head,f,white,bus,4.6,8.4,6.4,2.5,2.1,
1,m,27,Building,HR,referal,no,m,white,car,3.8,6.2,8,5.6,6,
0,f,25,manufacture,HR,youjs,my head,f,white,bus,4.6,7.6,9.5,2.5,1.3,
